Series Name,Series Code,Country Name,Country Code,2014 [YR2014]
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Afghanistan,AFG,1780.38236589403
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Albania,ALB,10715.3295809344
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Algeria,DZA,13482.9330029363
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,American Samoa,ASM,..
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Andorra,AND,..
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Angola,AGO,6260.13268066975
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Antigua and Barbuda,ATG,19521.3005759291
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Argentina,ARG,18797.5479465897
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Armenia,ARM,7971.11792762162
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Aruba,ABW,..
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Australia,AUS,43395.5714364734
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Austria,AUT,44122.6504065441
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Azerbaijan,AZE,16715.1055213058
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,"Bahamas, The",BHS,22303.5878564892
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Bahrain,BHR,44417.5203675318
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Bangladesh,BGD,2973.0415646346
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Barbados,BRB,15297.5841467398
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Belarus,BLR,17944.2095130117
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Belgium,BEL,41355.162022427
