Series Name,Series Code,Country Name,Country Code,2014 [YR2014]
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Afghanistan,AFG,62.9026829268293
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Albania,ALB,77.9983902439024
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Algeria,DZA,75.6350243902439
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,American Samoa,ASM,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Andorra,AND,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Angola,AGO,60.8067317073171
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Antigua and Barbuda,ATG,75.9240975609756
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Argentina,ARG,76.134
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Armenia,ARM,74.0195853658537
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Aruba,ABW,75.4567804878049
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Australia,AUS,82.3
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Austria,AUT,81.490243902439
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Azerbaijan,AZE,71.724756097561
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Bahamas, The",BHS,75.2176341463415
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bahrain,BHR,76.7254634146341
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bangladesh,BGD,71.8716585365854
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Barbados,BRB,75.4839024390244
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Belarus,BLR,72.9707317073171
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Belgium,BEL,81.2878048780488
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Belize,BLZ,70.147512195122
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Benin,BEN,60.3181219512195
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bermuda,BMU,80.7973170731707
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bhutan,BTN,69.4179756097561
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bolivia,BOL,68.3503170731707
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bosnia and Herzegovina,BIH,76.4635609756098
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Botswana,BWA,64.6943902439024
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Brazil,BRA,74.958243902439
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,British Virgin Islands,VGB,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Brunei Darussalam,BRN,76.9417317073171
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bulgaria,BGR,74.4658536585366
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Burkina Faso,BFA,59.3752926829268
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Burundi,BDI,56.6633170731707
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Cabo Verde,CPV,72.2543170731707
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Cambodia,KHM,68.106243902439
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Cameroon,CMR,57.0878048780488
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Canada,CAN,81.9530487804878
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Cayman Islands,CYM,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Central African Republic,CAF,50.5910487804878
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Chad,TCD,52.1810731707317
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Channel Islands,CHI,80.735
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Chile,CHL,78.9644878048781
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,China,CHN,75.9571951219512
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Colombia,COL,73.9789512195122
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Comoros,COM,63.2021463414634
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Congo, Dem. Rep.",COD,58.7486097560976
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Congo, Rep.",COG,63.5153170731707
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Costa Rica,CRI,79.4168536585366
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Cote d'Ivoire,CIV,52.5470731707317
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Croatia,HRV,77.4780487804878
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Cuba,CUB,79.3897073170732
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Curacao,CUW,77.8243902439025
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Cyprus,CYP,80.1220487804878
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Czech Republic,CZE,78.8243902439024
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Denmark,DNK,80.7
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Djibouti,DJI,61.9943170731707
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Dominica,DMA,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Dominican Republic,DOM,73.5161951219512
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Ecuador,ECU,75.8597317073171
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Egypt, Arab Rep.",EGY,71.1095609756098
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,El Salvador,SLV,72.7552926829268
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Equatorial Guinea,GNQ,57.2555365853659
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Eritrea,ERI,64.1633902439025
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Estonia,EST,77.0341463414634
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Ethiopia,ETH,64.5069024390244
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Faroe Islands,FRO,81.4853658536586
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Fiji,FJI,70.0711219512195
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Finland,FIN,81.1804878048781
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,France,FRA,82.6707317073171
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,French Polynesia,PYF,76.5069512195122
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Gabon,GAB,65.2030243902439
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Gambia, The",GMB,60.7138536585366
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Georgia,GEO,72.8206341463415
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Germany,DEU,81.090243902439
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Ghana,GHA,62.1137804878049
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Gibraltar,GIB,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Greece,GRC,81.4365853658537
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Greenland,GRL,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Grenada,GRD,73.3533414634146
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Guam,GUM,79.1737317073171
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Guatemala,GTM,72.7620243902439
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Guinea,GIN,58.8249024390244
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Guinea-Bissau,GNB,56.5482195121951
