Series Name,Series Code,Country Name,Country Code,2014 [YR2014]
"Population, total",SP.POP.TOTL,Afghanistan,AFG,32758020
"Population, total",SP.POP.TOTL,Albania,ALB,2889104
"Population, total",SP.POP.TOTL,Algeria,DZA,39113313
"Population, total",SP.POP.TOTL,American Samoa,ASM,55437
"Population, total",SP.POP.TOTL,Andorra,AND,79223
"Population, total",SP.POP.TOTL,Angola,AGO,26920466
"Population, total",SP.POP.TOTL,Antigua and Barbuda,ATG,98875
"Population, total",SP.POP.TOTL,Argentina,ARG,42981515
"Population, total",SP.POP.TOTL,Armenia,ARM,2906220
"Population, total",SP.POP.TOTL,Aruba,ABW,103795
"Population, total",SP.POP.TOTL,Australia,AUS,23460694
"Population, total",SP.POP.TOTL,Austria,AUT,8541575
"Population, total",SP.POP.TOTL,Azerbaijan,AZE,9535079
"Population, total",SP.POP.TOTL,"Bahamas, The",BHS,382169
"Population, total",SP.POP.TOTL,Bahrain,BHR,1336397
"Population, total",SP.POP.TOTL,Bangladesh,BGD,159405279
"Population, total",SP.POP.TOTL,Barbados,BRB,283385
"Population, total",SP.POP.TOTL,Belarus,BLR,9474511
"Population, total",SP.POP.TOTL,Belgium,BEL,11209057
"Population, total",SP.POP.TOTL,Belize,BLZ,351694
"Population, total",SP.POP.TOTL,Benin,BEN,10286712
"Population, total",SP.POP.TOTL,Bermuda,BMU,65139
"Population, total",SP.POP.TOTL,Bhutan,BTN,776448
"Population, total",SP.POP.TOTL,Bolivia,BOL,10562159
"Population, total",SP.POP.TOTL,Bosnia and Herzegovina,BIH,3566002
"Population, total",SP.POP.TOTL,Botswana,BWA,2168573
"Population, total",SP.POP.TOTL,Brazil,BRA,204213133
"Population, total",SP.POP.TOTL,British Virgin Islands,VGB,29588
"Population, total",SP.POP.TOTL,Brunei Darussalam,BRN,411704
"Population, total",SP.POP.TOTL,Bulgaria,BGR,7223938
"Population, total",SP.POP.TOTL,Burkina Faso,BFA,17585977
"Population, total",SP.POP.TOTL,Burundi,BDI,9891790
"Population, total",SP.POP.TOTL,Cabo Verde,CPV,526437
"Population, total",SP.POP.TOTL,Cambodia,KHM,15270790
"Population, total",SP.POP.TOTL,Cameroon,CMR,22239904
"Population, total",SP.POP.TOTL,Canada,CAN,35544564
"Population, total",SP.POP.TOTL,Cayman Islands,CYM,59172
"Population, total",SP.POP.TOTL,Central African Republic,CAF,4515392
"Population, total",SP.POP.TOTL,Chad,TCD,13569438
"Population, total",SP.POP.TOTL,Channel Islands,CHI,162969
"Population, total",SP.POP.TOTL,Chile,CHL,17613798
"Population, total",SP.POP.TOTL,China,CHN,1364270000
"Population, total",SP.POP.TOTL,Colombia,COL,47791911
"Population, total",SP.POP.TOTL,Comoros,COM,759385
"Population, total",SP.POP.TOTL,"Congo, Dem. Rep.",COD,73722860
"Population, total",SP.POP.TOTL,"Congo, Rep.",COG,4871101
"Population, total",SP.POP.TOTL,Costa Rica,CRI,4757575
"Population, total",SP.POP.TOTL,Cote d'Ivoire,CIV,22531350
"Population, total",SP.POP.TOTL,Croatia,HRV,4238389
"Population, total",SP.POP.TOTL,Cuba,CUB,11439767
"Population, total",SP.POP.TOTL,Curacao,CUW,155909
"Population, total",SP.POP.TOTL,Cyprus,CYP,1152309
"Population, total",SP.POP.TOTL,Czech Republic,CZE,10525347
"Population, total",SP.POP.TOTL,Denmark,DNK,5643475
"Population, total",SP.POP.TOTL,Djibouti,DJI,912164
"Population, total",SP.POP.TOTL,Dominica,DMA,72778
"Population, total",SP.POP.TOTL,Dominican Republic,DOM,10405844
"Population, total",SP.POP.TOTL,Ecuador,ECU,15903112
"Population, total",SP.POP.TOTL,"Egypt, Arab Rep.",EGY,91812566
"Population, total",SP.POP.TOTL,El Salvador,SLV,6281189
"Population, total",SP.POP.TOTL,Equatorial Guinea,GNQ,1129424
"Population, total",SP.POP.TOTL,Eritrea,ERI,..
"Population, total",SP.POP.TOTL,Estonia,EST,1314545
"Population, total",SP.POP.TOTL,Ethiopia,ETH,97366774
"Population, total",SP.POP.TOTL,Faroe Islands,FRO,48842
"Population, total",SP.POP.TOTL,Fiji,FJI,885806
"Population, total",SP.POP.TOTL,Finland,FIN,5461512
"Population, total",SP.POP.TOTL,France,FRA,66331957
"Population, total",SP.POP.TOTL,French Polynesia,PYF,275484
"Population, total",SP.POP.TOTL,Gabon,GAB,1875713
"Population, total",SP.POP.TOTL,"Gambia, The",GMB,1917852
"Population, total",SP.POP.TOTL,Georgia,GEO,3727000
"Population, total",SP.POP.TOTL,Germany,DEU,80982500
"Population, total",SP.POP.TOTL,Ghana,GHA,26962563
"Population, total",SP.POP.TOTL,Gibraltar,GIB,34038
"Population, total",SP.POP.TOTL,Greece,GRC,10892413
"Population, total",SP.POP.TOTL,Greenland,GRL,56295
"Population, total",SP.POP.TOTL,Grenada,GRD,106360
"Population, total",SP.POP.TOTL,Guam,GUM,160967
